,Energy In Bat 1,Energy In Bat 2,Energy In Bat 3,Energy Out Bat 1,Energy Out Bat 2,Energy Out Bat 3,PV Energy 1,PV Energy 2,PV Energy 3,Energy Gen 
2016-07-24,64.0,59.0,62.0,54.0,49.0,54.0,46.72,46.43,46.56,166.8
2016-07-25,60.0,55.0,58.0,56.0,51.0,56.0,41.75,41.41,41.68,166.2
2016-07-26,58.0,57.0,58.0,61.0,57.0,61.0,34.08,33.88,34.09,168.2
2016-07-27,70.0,65.0,65.0,52.0,51.0,52.0,47.63,47.17,47.5,164.7
2016-07-28,63.0,55.0,62.0,54.0,47.0,55.0,41.59,41.48,41.41,162.7
2016-07-29,59.0,49.0,58.0,55.0,52.0,55.0,37.79,37.47,37.53,156.8
2016-07-30,63.0,58.0,62.0,53.0,50.0,53.0,44.95,44.53,44.81,165.4
2016-07-31,59.0,55.0,58.0,52.0,48.0,52.0,42.85,42.23,42.49,167.2
2016-08-01,59.0,54.0,58.0,50.0,47.0,51.0,38.82,38.25,38.65,165.8
2016-08-02,59.0,54.0,57.0,53.0,51.0,53.0,37.49,37.7,37.58,166.4
2016-08-03,59.0,55.0,59.0,54.0,50.0,55.0,40.84,41.63,44.34,167.1
2016-08-04,62.0,56.0,60.0,52.0,49.0,51.0,43.16,42.74,42.8,167.4
2016-08-05,58.0,54.0,57.0,52.0,48.0,52.0,41.35,40.87,41.26,166.4
2016-08-06,60.0,55.0,59.0,58.0,55.0,61.0,39.27,38.98,38.87,167.3
2016-08-07,87.0,82.0,86.0,54.0,49.0,53.0,13.47,13.43,13.41,347.3
2016-08-08,37.0,40.0,37.0,73.0,78.0,74.0,14.13,14.07,14.06,128.1
2016-08-09,65.0,64.0,64.0,56.0,54.0,57.0,45.61,45.34,45.71,164.0
2016-08-10,72.0,64.0,71.0,54.0,50.0,54.0,53.25,52.75,52.65,163.7
2016-08-11,60.0,54.0,59.0,52.0,49.0,52.0,42.39,41.87,42.37,162.9
2016-08-12,60.0,54.0,59.0,59.0,55.0,59.0,39.0,38.52,38.84,157.8
2016-08-13,62.0,58.0,61.0,53.0,51.0,54.0,47.73,47.12,47.53,168.5
2016-08-14,59.0,58.0,58.0,54.0,55.0,54.0,45.68,45.96,44.73,173.5
2016-08-15,60.0,60.0,59.0,54.0,53.0,54.0,47.17,47.89,48.79,176.5
2016-08-16,60.0,60.0,59.0,53.0,53.0,53.0,48.39,47.74,48.29,177.7
2016-08-17,58.0,58.0,52.0,53.0,56.0,51.0,47.04,46.94,47.76,169.7
2016-08-18,61.0,63.0,62.0,52.0,54.0,61.0,50.65,51.0,50.86,166.6
2016-08-19,59.0,61.0,67.0,53.0,57.0,61.0,50.07,49.37,48.51,168.6
2016-08-20,57.0,59.0,64.0,54.0,56.0,61.0,46.31,45.65,46.16,168.8
2016-08-21,60.0,61.0,66.0,49.0,48.0,51.0,48.6,46.64,46.24,167.3
2016-08-22,61.0,56.0,63.0,43.0,39.0,43.0,38.58,37.95,38.36,195.2
2016-08-23,62.0,53.0,62.0,59.0,51.0,59.0,49.21,48.59,49.05,133.0
2016-08-24,62.0,56.0,62.0,60.0,55.0,61.0,44.89,44.44,44.8,151.1
2016-08-25,61.0,54.0,62.0,54.0,51.0,55.0,42.14,41.6,41.91,161.5
2016-08-26,61.0,55.0,61.0,57.0,54.0,57.0,51.89,51.18,51.55,135.6
2016-08-27,62.0,56.0,63.0,60.0,56.0,60.0,51.34,50.6,51.01,145.3
2016-08-28,79.0,76.0,79.0,56.0,56.0,55.0,17.37,17.3,17.23,307.5
2016-08-29,54.0,52.0,56.0,45.0,49.0,51.0,14.65,14.61,14.53,236.4
2016-08-30,37.0,33.0,38.0,59.0,55.0,59.0,64.13,63.43,64.15,0.0
2016-08-31,57.0,49.0,58.0,53.0,51.0,53.0,36.69,36.7,37.52,167.6
2016-09-01,62.0,56.0,62.0,57.0,53.0,57.0,45.7,45.23,45.45,164.2
2016-09-02,60.0,54.0,60.0,62.0,57.0,61.0,38.6,37.46,38.37,166.5
2016-09-03,56.0,53.0,57.0,62.0,59.0,60.0,33.04,32.72,32.52,173.0
2016-09-04,70.0,61.0,69.0,51.0,50.0,53.0,49.4,48.91,48.77,175.0
2016-09-05,56.0,50.0,60.0,52.0,48.0,52.0,36.96,36.6,36.51,172.8
2016-09-06,55.0,50.0,54.0,49.0,44.0,50.0,35.39,35.06,34.91,170.0
2016-09-07,62.0,49.0,64.0,58.0,52.0,58.0,50.35,49.61,49.81,118.2
2016-09-08,63.0,53.0,64.0,59.0,54.0,59.0,20.38,20.16,20.26,132.5
2016-09-09,63.0,56.0,64.0,57.0,53.0,58.0,49.54,48.72,48.69,151.9
2016-09-10,62.0,54.0,62.0,61.0,57.0,62.0,51.11,50.02,50.02,143.4
2016-09-11,63.0,55.0,63.0,55.0,53.0,56.0,49.64,48.52,48.7,170.3
2016-09-12,61.0,58.0,64.0,58.0,56.0,62.0,65.32,64.22,64.31,119.8
2016-09-13,61.0,56.0,61.0,56.0,55.0,57.0,46.01,45.82,45.93,173.2
2016-09-14,65.0,61.0,66.0,58.0,56.0,59.0,45.97,45.42,45.43,177.5
2016-09-15,61.0,54.0,61.0,56.0,52.0,58.0,45.98,45.46,45.44,170.7
2016-09-16,65.0,58.0,65.0,59.0,55.0,60.0,52.76,51.8,52.11,153.8
2016-09-17,63.0,55.0,63.0,62.0,58.0,64.0,51.82,50.91,50.97,158.1
2016-09-18,64.0,58.0,66.0,56.0,53.0,57.0,51.36,50.66,50.53,177.4
2016-09-19,60.0,55.0,59.0,58.0,58.0,58.0,31.02,30.63,30.53,211.2
2016-09-20,59.0,55.0,56.0,51.0,49.0,51.0,50.81,49.85,49.98,144.8
2016-09-21,61.0,54.0,57.0,52.0,46.0,52.0,42.01,41.27,41.32,176.9
2016-09-22,62.0,55.0,67.0,60.0,58.0,60.0,50.24,49.11,49.29,150.2
2016-09-23,64.0,57.0,61.0,63.0,59.0,62.0,56.22,55.88,55.94,128.6
2016-09-24,67.0,60.0,63.0,57.0,52.0,56.0,44.36,43.76,43.66,175.1
2016-09-25,60.0,56.0,59.0,59.0,55.0,59.0,36.45,36.11,36.04,171.3
2016-09-26,59.0,50.0,59.0,49.0,47.0,50.0,38.78,38.25,39.21,172.2
2016-09-27,65.0,57.0,64.0,65.0,59.0,65.0,57.85,57.21,55.62,122.8
2016-09-28,66.0,58.0,65.0,60.0,54.0,59.0,65.12,64.43,63.86,133.6
2016-09-29,62.0,57.0,60.0,57.0,55.0,58.0,48.82,49.32,46.55,177.8
2016-09-30,64.0,59.0,64.0,61.0,60.0,61.0,65.96,64.34,64.56,156.6
2016-10-01,60.0,59.0,60.0,58.0,57.0,58.0,34.16,33.83,33.85,201.7
2016-10-02,60.0,58.0,56.0,42.0,51.0,52.0,53.16,52.83,53.12,153.2
2016-10-03,49.0,53.0,55.0,53.0,52.0,54.0,42.48,41.48,41.54,175.0
2016-10-04,64.0,60.0,65.0,69.0,65.0,69.0,50.76,50.19,50.5,159.7
2016-10-05,72.0,66.0,72.0,57.0,52.0,57.0,53.59,52.92,53.07,180.3
2016-10-06,62.0,55.0,61.0,58.0,57.0,58.0,49.54,49.73,50.59,160.3
2016-10-07,67.0,59.0,65.0,57.0,54.0,56.0,52.33,51.59,52.14,183.7
2016-10-08,63.0,58.0,61.0,58.0,54.0,57.0,49.59,44.12,45.47,184.6
2016-10-09,63.0,59.0,62.0,54.0,51.0,53.0,48.82,45.19,44.67,192.0
2016-10-10,61.0,56.0,62.0,62.0,62.0,62.0,61.92,60.91,62.7,138.7
2016-10-11,73.0,70.0,70.0,78.0,77.0,78.0,51.78,52.41,52.81,164.3
